product,rating,rating count,price,product url
Dickies Men's Fleece Hooded Duck Shirt Jacket with Hydroshield  ,4.7 out of 5 stars,866  ,54.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfYnRmOjIwMDA5OTA5NTI3NDk1MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FDickies-Fleece-Hydroshield-Mushroom-X-Large%2Fdp%2FB08KJF3KNS%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-60-spons%26psc%3D1
Dickies Men's Flex Duck Shirt Jacket  ,4.4 out of 5 stars,127  ,47.29,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A1016562B0HQ56T9B7B0&url=%2FDickies-Shirt-Jacket-Slate-Medium%2Fdp%2FB08DJ89NFJ%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958370%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-49-spons%26psc%3D1&qualifier=1664958370&id=7817798884410245&widgetName=sp_atf_next
Legendary Whitetails Men's Maplewood Hooded Shirt Jacket  ,4.6 out of 5 stars,"10,359  ",69.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05925291IW6B89TSTB73&url=%2FLegendary-Whitetails-Maplewood-Hooded-Jacket%2Fdp%2FB075ZGJPMF%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958370%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-50-spons%26psc%3D1&qualifier=1664958370&id=7817798884410245&widgetName=sp_atf_next
Legendary Whitetails Men's Archer Thermal Lined Flannel Shirt Jacket  ,4.5 out of 5 stars,"4,714  ",59.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00677373HTTXUZOVTHRF&url=%2FLegendary-Whitetails-Archer-Thermal-XX-Large%2Fdp%2FB00MXDA5DY%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958370%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-51-spons%26psc%3D1&qualifier=1664958370&id=7817798884410245&widgetName=sp_atf_next
Jack Wolfskin Women's Norrland 3-in-1 W Waterproof Insulated Jacket  ,4.5 out of 5 stars,170  ,149.29,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A06917152JN3F1AJZEHPO&url=%2FJack-Wolfskin-Norrland-Waterproof-Insulated%2Fdp%2FB07DMJ38XS%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958370%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-52-spons%26psc%3D1&qualifier=1664958370&id=7817798884410245&widgetName=sp_atf_next
Amazon Essentials Girls and Toddlers' Heavy-Weight Hooded Puffer Jackets  ,4.8 out of 5 stars,"3,532  ",35.3,https://amazon.com/Amazon-Essentials-Heavy-Weight-Hooded-Puffer/dp/B08SXFHFJJ/ref=sr_1_53?keywords=winter+jacket&qid=1664958370&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-53
"The Children's Place Toddler & Baby and Toddler Boy Heavy 3 in 1 Winter Jacket, Wind Water-Resistant Shell, Fleece Inner  ",5.0 out of 5 stars,1  ,41.97,https://amazon.com/Childrens-Place-Wind-resistant-Water-resistant-Alternative/dp/B09XC3HRCS/ref=sr_1_55?keywords=winter+jacket&qid=1664958370&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-55
"The Children's Place Baby Toddler & Baby and Toddler Girl Heavy 3 in 1 Winter Jacket, Wind Water-Resistant Shell, Fleece Inner, Candy Swirls, 5T  ",4.0 out of 5 stars,1  ,46.19,https://amazon.com/Childrens-Place-Toddler-Winter-Water-Resistant/dp/B09XC3P7D7/ref=sr_1_56?keywords=winter+jacket&qid=1664958370&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-56
"Columbia Women's Peak to Park Insulated Jacket, Water Resistant and Insulated  ",4.6 out of 5 stars,"1,982  ",92.2,https://amazon.com/Columbia-Womens-Insulated-Jacket-Medium/dp/B076VNT71B/ref=sr_1_57?keywords=winter+jacket&qid=1664958370&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-57
Racer Retro Motorcycle Biker Leather Jacket for Men Vintage Brando Motorcycle Rider Classic Biker Jacket  ,3.6 out of 5 stars,7  ,56.99,https://amazon.com/Motorcycle-Leather-Winter-Vintage-Classic/dp/B09ZP15BSZ/ref=sr_1_58?keywords=winter+jacket&qid=1664958370&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-58
Columbia Women's Suttle Mountain Long Insulated Jacket  ,4.7 out of 5 stars,"1,480  ",159.99,https://amazon.com/Columbia-Womens-Suttle-Mountain-Insulated/dp/B07JCF94RN/ref=sr_1_59?keywords=winter+jacket&qid=1664958370&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-59
Amazon Essentials Girls and Toddlers' Long Heavy-Weight Hooded Puffer Jacket  ,4.7 out of 5 stars,809  ,40.4,https://amazon.com/Amazon-Essentials-Heavy-Weight-Hooded-Puffer/dp/B08SXHZHBB/ref=sr_1_60?keywords=winter+jacket&qid=1664958370&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-60
